arm,policy,operating_param,cost_mean,accuracy_mean,ci_lo,ci_hi,seed_lo,seed_hi,tpr,fpr,n_seeds,stochastic,deployable
l2d_mozannar,mozannar,0.8,0.6095100864553314,0.7953890489913544,0.7700144092219022,0.8224999999999999,0.7838616714697406,0.80835734870317,0.5494623655913978,0.11456692913385827,5,True,True
l2d_mozannar,mozannar,0.7,0.6628242074927954,0.7948126801152738,0.7691570605187319,0.8219020172910663,0.7853025936599424,0.8097982708933718,0.5602150537634408,0.11929133858267718,5,True,True
l2d_mozannar,mozannar,0.6,0.6873198847262247,0.795965417867435,0.770007204610951,0.8230691642651298,0.7853025936599424,0.8141210374639769,0.5666666666666667,0.1200787401574803,5,True,True
l2d_mozannar,mozannar,0.5,0.729106628242075,0.7948126801152737,0.768299711815562,0.8201801152737753,0.7824207492795389,0.8141210374639769,0.5752688172043011,0.12480314960629921,5,True,True
l2d_mozannar,mozannar,0.2,0.7968299711815562,0.7899135446685879,0.764257925072046,0.8152737752161384,0.776657060518732,0.8112391930835735,0.5602150537634409,0.12598425196850394,5,True,True
l2d_mozannar,mozannar,0.1,0.8155619596541787,0.786743515850144,0.7613760806916425,0.8123919308357348,0.7723342939481268,0.8069164265129684,0.5505376344086022,0.12677165354330708,5,True,True
l2d_okati,learned,0.0,0.0,0.8285302593659942,0.8011527377521613,0.8559438040345821,0.8285302593659942,0.8285302593659942,0.4946236559139785,0.04921259842519685,5,True,True
l2d_okati,learned,0.1,0.0994236311239193,0.8337175792507205,0.8063400576368877,0.8608069164265131,0.8242074927953891,0.840057636887608,0.532258064516129,0.05590551181102362,5,True,True
l2d_okati,learned,0.2,0.1988472622478386,0.8319884726224783,0.805749279538905,0.8559149855907782,0.8184438040345822,0.8414985590778098,0.5193548387096774,0.053543307086614166,5,True,True
l2d_okati,learned,0.3,0.29971181556195964,0.8288184438040347,0.803451008645533,0.8530403458213256,0.8112391930835735,0.8429394812680115,0.5150537634408602,0.056299212598425206,5,True,True
l2d_okati,learned,0.4,0.39913544668587897,0.8233429394812679,0.7971181556195966,0.8466858789625359,0.8097982708933718,0.8371757925072046,0.5161290322580645,0.0641732283464567,5,True,True
l2d_okati,learned,0.5,0.5,0.8109510086455332,0.7847190201729105,0.8340057636887608,0.7939481268011528,0.8270893371757925,0.5,0.07519685039370079,5,True,True
l2d_okati,learned,0.6,0.5994236311239193,0.8031700288184437,0.7763616714697406,0.8268083573487033,0.7824207492795389,0.8227665706051873,0.4817204301075269,0.07913385826771654,5,True,True
l2d_okati,learned,0.7,0.6988472622478387,0.7951008645533142,0.769164265129683,0.8184510086455332,0.7809798270893372,0.80835734870317,0.4752688172043011,0.08779527559055118,5,True,True
l2d_okati,learned,0.8,0.7997118155619597,0.7855907780979827,0.7619596541786743,0.8086455331412105,0.770893371757925,0.8011527377521613,0.4505376344086022,0.09173228346456694,5,True,True
l2d_okati,oracle,0.0,0.0,0.8285302593659942,0.8011527377521613,0.8559438040345821,0.8285302593659942,0.8285302593659942,0.4946236559139785,0.04921259842519685,5,True,False
l2d_okati,oracle,0.1,0.0994236311239193,0.8821325648414986,0.8590706051873197,0.9028890489913546,0.877521613832853,0.8962536023054755,0.5827956989247312,0.00826771653543307,5,True,False
l2d_okati,oracle,0.2,0.17146974063400577,0.8919308357348703,0.8714697406340057,0.9112463976945246,0.8847262247838616,0.9063400576368876,0.6193548387096774,0.00826771653543307,5,True,False
l2d_okati,oracle,0.3,0.17146974063400577,0.8919308357348703,0.8714697406340057,0.9112463976945246,0.8847262247838616,0.9063400576368876,0.6193548387096774,0.00826771653543307,5,True,False
l2d_okati,oracle,0.4,0.17146974063400577,0.8919308357348703,0.8714697406340057,0.9112463976945246,0.8847262247838616,0.9063400576368876,0.6193548387096774,0.00826771653543307,5,True,False
l2d_okati,oracle,0.5,0.17146974063400577,0.8919308357348703,0.8714697406340057,0.9112463976945246,0.8847262247838616,0.9063400576368876,0.6193548387096774,0.00826771653543307,5,True,False
l2d_okati,oracle,0.6,0.17146974063400577,0.8919308357348703,0.8714697406340057,0.9112463976945246,0.8847262247838616,0.9063400576368876,0.6193548387096774,0.00826771653543307,5,True,False
l2d_okati,oracle,0.7,0.17146974063400577,0.8919308357348703,0.8714697406340057,0.9112463976945246,0.8847262247838616,0.9063400576368876,0.6193548387096774,0.00826771653543307,5,True,False
l2d_okati,oracle,0.8,0.17146974063400577,0.8919308357348703,0.8714697406340057,0.9112463976945246,0.8847262247838616,0.9063400576368876,0.6193548387096774,0.00826771653543307,5,True,False
single_human,single_human,1.0,1.0,0.7530259365994236,0.7285230547550431,0.7772334293948127,0.7319884726224783,0.7723342939481268,0.3354838709677419,0.0940944881889764,5,True,True
